分类: 央视频道, 名称: CCTV1, 有效: 8, IPv4: 320, IPv6: 0, 最小延迟: 5 ms, 最高速率: 16.63 M/s, 平均速率: 8.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV2, 有效: 8, IPv4: 282, IPv6: 0, 最小延迟: 6 ms, 最高速率: 16.13 M/s, 平均速率: 6.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.18, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV3, 有效: 8, IPv4: 276, IPv6: 0, 最小延迟: 116 ms, 最高速率: 17.22 M/s, 平均速率: 7.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV4, 有效: 8, IPv4: 335, IPv6: 0, 最小延迟: 116 ms, 最高速率: 23.14 M/s, 平均速率: 7.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.70, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV5, 有效: 8, IPv4: 290, IPv6: 0, 最小延迟: 109 ms, 最高速率: 17.00 M/s, 平均速率: 3.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.58, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV5+, 有效: 5, IPv4: 212, IPv6: 0, 最小延迟: 115 ms, 最高速率: 2.08 M/s, 平均速率: 1.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.09, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV6, 有效: 8, IPv4: 276, IPv6: 0, 最小延迟: 16 ms, 最高速率: 10.15 M/s, 平均速率: 2.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.31, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV7, 有效: 8, IPv4: 276, IPv6: 0, 最小延迟: 115 ms, 最高速率: 16.20 M/s, 平均速率: 5.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV8, 有效: 8, IPv4: 267, IPv6: 0, 最小延迟: 116 ms, 最高速率: 12.39 M/s, 平均速率: 1.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.64, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV9, 有效: 8, IPv4: 287, IPv6: 0, 最小延迟: 116 ms, 最高速率: 16.37 M/s, 平均速率: 8.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.18, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV10, 有效: 8, IPv4: 297, IPv6: 0, 最小延迟: 109 ms, 最高速率: 14.30 M/s, 平均速率: 3.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV11, 有效: 8, IPv4: 271, IPv6: 0, 最小延迟: 115 ms, 最高速率: 18.25 M/s, 平均速率: 8.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV12, 有效: 8, IPv4: 281, IPv6: 0, 最小延迟: 116 ms, 最高速率: 16.18 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV13, 有效: 8, IPv4: 277, IPv6: 0, 最小延迟: 110 ms, 最高速率: 13.86 M/s, 平均速率: 6.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.09, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道, 名称: CCTV14, 有效: 8, IPv4: 276, IPv6: 0, 最小延迟: 116 ms, 最高速率: 18.10 M/s, 平均速率: 10.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.20, 视频编解码器: h264, 音频编解码器: mp2
