🕘️更新时间,#genre#
2026-01-31 05:06:55,http://23.237.228.134/live5/CCTV1.m3u8

┃4K高清,#genre#
CCTV-1高清,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1高清,http://rihou.cc:555/tv/[JR]CCTV-01
CCTV-1高清,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIxOC4yMy4xOTIuMzM6OTk5OS9uZXdsaXZlL2xpdmUvaGxzLzEvbGl2ZS5tM3U4
CCTV-1高清,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1高清,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1高清,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1高清,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1高清,http://tvtj.jxwltx.com:8003/cctv1.m3u8
CCTV-1高清,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8
CCTV-1高清,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIyMi44NS4xOTguOTI6ODAwMC9obHMvMS9pbmRleC5tM3U4
北京卫视高清,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
北京卫视高清,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
北京卫视高清,http://23.237.228.134/live3/beijing.m3u8
北京卫视高清,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzIxOC4yMy4xOTIuMzM6OTk5OS9uZXdsaXZlL2xpdmUvaGxzLzIyL2xpdmUubTN1OA==
北京卫视高清,http://120.202.94.181:9446/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视高清,http://112.27.235.94:8000/hls/27/index.m3u8
北京卫视高清,http://183.215.134.239:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视高清,http://120.211.62.180:8000/hls/35/index.m3u8
北京卫视高清,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8
